out/18; R$ 41,71 ; R$ 105,99 ; R$ 51,94 ; R$ 90,59 ; R$ 85,40 ; R$ 66,23 ; R$ 33,24 ; R$ 70,78 ; R$ 68,60 ; R$ 51,96 ; R$ 298,63 ; R$ 69,26 ; R$ 573,61 ; R$ 397,77 ; R$ 48,70 ; R$ 95,61 ; R$ 305,03 ; R$ 624,03 ; R$ 207,93 ; R$ 116,35 ; R$ 573,61 ;; R$ 909,16 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/18; R$ 42,02 ; R$ 100,01 ; R$ 52,32 ; R$ 76,96 ; R$ 89,25 ; R$ 74,12 ; R$ 36,82 ; R$ 103,10 ; R$ 69,37 ; R$ 56,27 ; R$ 408,18 ; R$ 80,19 ; R$ 863,44 ; R$ 179,31 ; R$ 98,00 ; R$ 91,30 ; R$ 294,22 ; R$ 208,88 ; R$ 197,85 ; R$ 151,97 ; R$ 863,44 ; R$ 157,56 ; R$ 967,07 ; R$ 62,67 ; R$ 350,61 ; R$ 106,81 ; R$ 393,68 ; R$ 594,74 ;;;; R$ 249,48 ; R$ 549,20 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/18; R$ 45,18 ; R$ 81,77 ; R$ 55,39 ; R$ 50,37 ; R$ 79,91 ; R$ 76,49 ; R$ 70,88 ; R$ 59,19 ; R$ 60,99 ; R$ 53,22 ; R$ 410,72 ; R$ 69,34 ; R$ 656,97 ; R$ 432,47 ; R$ 92,05 ; R$ 97,00 ; R$ 176,21 ; R$ 201,99 ; R$ 190,00 ; R$ 157,69 ; R$ 656,97 ; R$ 140,59 ; R$ -   ; R$ 59,54 ; R$ 139,72 ; R$ 99,00 ; R$ 284,34 ; R$ 498,43 ; R$ 97,45 ; R$ 393,81 ; R$ 1.065,80 ; R$ 30,33 ; R$ 640,05 ; R$ 467,26 ;;;;;;;;;;;;;;;;;;;;;;;;;;; R$ 62,31 ;;;;;;;;;;;;;;;;;;;;;;;;;
jan/19; R$ 49,25 ; R$ 132,03 ; R$ 247,76 ; R$ 107,67 ; R$ 155,28 ; R$ 91,61 ;; R$ 184,57 ; R$ 108,38 ; R$ 98,14 ; R$ 452,68 ; R$ 170,65 ; R$ 515,55 ; R$ 430,79 ; R$ 135,67 ; R$ 106,61 ; R$ 410,37 ; R$ 201,17 ; R$ 186,46 ; R$ 221,24 ; R$ 515,55 ; R$ 167,38 ; R$ 955,92 ; R$ 60,46 ; R$ 138,03 ; R$ 151,24 ; R$ 75,54 ; R$ 76,34 ; R$ 118,86 ; R$ 147,18 ; R$ 348,58 ; R$ 27,19 ; R$ 64,17 ; R$ 485,40 ;; R$ 4.547,55 ;;;;;;;;;;;;;;;;;;;;;;;;; R$ 161,46 ;;;;;;;;;;;;;;;;;;;;;;;;;
fev/19; R$ 53,72 ; R$ 133,76 ; R$ 136,76 ; R$ 103,10 ; R$ 175,43 ; R$ 102,11 ; R$ 75,57 ; R$ 223,75 ; R$ 130,07 ; R$ 197,12 ; R$ 1.043,33 ; R$ 232,67 ; R$ 3.099,95 ; R$ 308,21 ; R$ 168,67 ; R$ 107,86 ; R$ 382,47 ; R$ 289,08 ; R$ 160,79 ; R$ 191,48 ; R$ 3.099,95 ; R$ 165,51 ; R$ 869,77 ; R$ 59,43 ; R$ 142,85 ; R$ 156,92 ; R$ 281,98 ;; R$ 140,13 ; R$ 130,77 ; R$ 368,66 ; R$ 25,68 ; R$ 46,85 ; R$ 478,59 ; R$ 471,55 ; R$ 4.271,25 ;;;;;;;;;;;;;;;;;;;;;;;;; R$ 80,59 ;;;;;;;;;;;;;;;;;;;;;;;;;
mar/19; R$ 46,67 ; R$ 80,53 ;; R$ 92,15 ; R$ 91,09 ; R$ 91,47 ;; R$ 155,07 ; R$ 121,65 ; R$ 56,54 ; R$ 689,51 ; R$ 66,31 ; R$ 1.541,27 ; R$ 331,34 ; R$ 169,87 ; R$ 100,07 ; R$ 329,40 ; R$ 839,73 ; R$ 205,66 ; R$ 134,91 ; R$ 1.541,27 ; R$ 147,76 ; R$ 962,03 ; R$ 63,38 ; R$ 137,61 ; R$ 102,27 ; R$ 106,86 ;; R$ 132,35 ; R$ 155,00 ; R$ 335,20 ; R$ 25,44 ; R$ 60,13 ; R$ 510,46 ; R$ 482,97 ;; R$ 141,17 ; R$ 942,56 ; R$ 209,80 ; R$ 46,06 ;; R$ 165,89 ;;;;;;;;;;;;;;;;;;; R$ 68,94 ;;;;;;;;;;;;;;;;;;;;;;;;;
abr/19; R$ 44,70 ; R$ 78,40 ; R$ 135,93 ; R$ 75,84 ; R$ 71,42 ; R$ 79,27 ; R$ 67,94 ; R$ 147,76 ; R$ 96,32 ; R$ 53,17 ; R$ 686,69 ; R$ 61,34 ; R$ 1.040,69 ; R$ 198,18 ; R$ 177,91 ; R$ 82,88 ; R$ 191,64 ; R$ 669,85 ; R$ 189,63 ; R$ 157,93 ; R$ 1.040,69 ; R$ 135,01 ; R$ 853,25 ; R$ 59,24 ; R$ 118,53 ; R$ 86,47 ; R$ 190,05 ; R$ 65,72 ; R$ 79,66 ; R$ 154,43 ; R$ 500,24 ; R$ 25,44 ; R$ 46,36 ; R$ 568,97 ; R$ 405,97 ;; R$ 64,32 ; R$ 243,37 ; R$ 184,77 ;; R$ 209,57 ; R$ 136,58 ; R$ 279,85 ; R$ 2.806,42 ; R$ 2.744,38 ; R$ 381,44 ; R$ 571,26 ; R$ 440,93 ; R$ 59,24 ; R$ 205,31 ; R$ 4.495,12 ;;;;;;;;;; R$ 57,70 ;;;;;;;;;;;;;;;;;;;;;;;;;
mai/19; R$ 46,59 ; R$ 65,14 ; R$ 150,79 ; R$ 119,82 ; R$ 231,68 ; R$ 114,94 ; R$ 42,36 ; R$ 194,89 ; R$ 126,58 ; R$ 56,26 ; R$ 959,50 ; R$ 79,98 ; R$ 2.664,35 ; R$ 721,28 ; R$ 188,85 ; R$ 74,59 ; R$ 274,88 ; R$ 1.264,39 ; R$ 223,14 ; R$ 157,93 ; R$ 2.664,35 ; R$ 148,48 ; R$ 959,48 ; R$ 66,68 ; R$ 126,93 ; R$ 87,49 ; R$ 305,01 ; R$ 386,59 ; R$ 100,79 ; R$ 222,41 ; R$ 1.326,65 ; R$ 25,46 ; R$ 46,40 ; R$ 1.687,61 ; R$ 829,38 ; R$ 555,70 ; R$ 70,72 ; R$ 388,98 ; R$ 182,19 ; R$ 64,12 ; R$ 288,80 ; R$ 157,43 ; R$ 114,68 ; R$ 2.279,73 ; R$ 2.101,38 ; R$ 159,98 ; R$ 714,35 ; R$ 490,85 ; R$ 62,79 ; R$ 583,51 ; R$ 750,82 ; R$ 190,78 ; R$ 234,90 ;;;;;;;; R$ 58,85 ;;;;;;;;;;;;;;;;;;;;;;;;;
jun/19;; R$ 65,37 ; R$ 122,69 ; R$ 110,22 ; R$ 221,84 ; R$ 112,77 ; R$ 44,83 ; R$ 131,62 ; R$ 100,97 ; R$ 50,20 ; R$ 784,14 ; R$ 153,92 ; R$ 1.800,58 ; R$ 499,89 ; R$ 250,27 ; R$ 337,25 ; R$ 123,28 ; R$ 1.482,16 ; R$ 222,18 ; R$ 85,45 ; R$ 1.800,58 ; R$ 165,69 ; R$ 1.139,05 ; R$ 65,37 ; R$ 123,25 ; R$ 73,07 ; R$ 141,87 ; R$ 219,15 ; R$ 95,51 ; R$ 108,67 ; R$ 952,56 ; R$ 26,37 ; R$ 48,22 ; R$ 1.712,38 ; R$ 774,02 ; R$ 456,97 ; R$ 59,76 ; R$ 143,14 ; R$ 277,95 ;; R$ 352,83 ; R$ 110,29 ; R$ 108,90 ; R$ 1.555,99 ; R$ 1.584,49 ; R$ 183,72 ; R$ 157,59 ; R$ 267,51 ; R$ 55,08 ; R$ 300,58 ; R$ 1.656,96 ; R$ 60,51 ; R$ 201,80 ; R$ 2.766,04 ; R$ 780,65 ; R$ 227,13 ;;; R$ 2.027,08 ; R$ 198,05 ;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/19; R$ 89,90 ; R$ 73,81 ; R$ 111,22 ; R$ 113,58 ; R$ 156,17 ; R$ 78,18 ; R$ 109,58 ; R$ 144,14 ; R$ 106,44 ; R$ 56,38 ; R$ 638,43 ; R$ 111,41 ; R$ 957,00 ; R$ 542,03 ; R$ 15,42 ; R$ 199,52 ; R$ 336,74 ; R$ 841,95 ; R$ 290,71 ; R$ 163,09 ; R$ 957,00 ; R$ 158,67 ; R$ 1.415,87 ; R$ 67,89 ; R$ 127,92 ; R$ 90,55 ; R$ 132,67 ; R$ 104,67 ; R$ 128,08 ; R$ 177,37 ; R$ 953,94 ; R$ 25,78 ; R$ 152,71 ; R$ 1.469,49 ; R$ 528,68 ; R$ 482,41 ; R$ 131,92 ; R$ 150,82 ; R$ 298,99 ; R$ 97,03 ; R$ 235,88 ; R$ 123,72 ; R$ 108,83 ; R$ 1.080,90 ; R$ 1.334,03 ; R$ 382,62 ; R$ 377,30 ; R$ 200,43 ; R$ 55,37 ; R$ 333,61 ; R$ 2.730,36 ; R$ 62,64 ; R$ 186,21 ; R$ 484,31 ; R$ 647,87 ; R$ 111,12 ;;; R$ 336,86 ; R$ 130,06 ;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/19; R$ 54,67 ; R$ 101,76 ; R$ 52,45 ; R$ 99,27 ; R$ 188,77 ; R$ 99,26 ; R$ 121,65 ; R$ 170,08 ; R$ 71,33 ; R$ 58,29 ; R$ 897,41 ; R$ 99,67 ; R$ 1.463,63 ; R$ 585,32 ; R$ 199,38 ; R$ 156,77 ; R$ 314,88 ; R$ 997,11 ; R$ 237,99 ; R$ 151,92 ; R$ 1.952,13 ; R$ 195,65 ; R$ 1.488,34 ; R$ 67,23 ; R$ 148,41 ; R$ 93,66 ; R$ 115,02 ; R$ 88,84 ; R$ 125,75 ; R$ 232,56 ; R$ 880,11 ; R$ 26,82 ; R$ 219,19 ; R$ 1.279,33 ; R$ 511,21 ; R$ 464,98 ; R$ 63,56 ; R$ 168,23 ; R$ 274,32 ; R$ 267,79 ; R$ 210,11 ; R$ 140,81 ; R$ 126,03 ; R$ 1.088,98 ; R$ 1.378,01 ; R$ 243,23 ; R$ 504,77 ; R$ 303,43 ; R$ 66,01 ; R$ 359,60 ; R$ 663,46 ; R$ 75,83 ; R$ 97,95 ; R$ 564,39 ;; R$ 76,35 ; R$ 88,63 ;; R$ 392,39 ; R$ 122,58 ;;;;;;;;;;;;;;;;;;;;;;;;;;
set/19; R$ 49,82 ; R$ 86,15 ; R$ 54,13 ; R$ 67,74 ; R$ 117,13 ; R$ 85,61 ; R$ 74,11 ; R$ 118,70 ; R$ 38,25 ; R$ 58,16 ;; R$ 72,12 ; R$ 572,11 ; R$ 284,62 ; R$ 188,61 ; R$ 106,89 ; R$ 259,80 ; R$ 186,52 ; R$ 434,24 ; R$ 161,57 ; R$ 851,77 ;;; R$ 73,47 ; R$ 138,76 ; R$ 88,57 ; R$ 69,89 ; R$ 123,34 ; R$ 132,49 ; R$ 635,03 ; R$ 349,05 ;;; R$ 449,72 ; R$ 210,48 ; R$ 435,58 ; R$ 69,84 ; R$ 161,81 ; R$ 221,34 ; R$ 267,79 ; R$ 206,00 ; R$ 139,18 ; R$ 116,38 ; R$ 621,96 ; R$ 1.008,38 ; R$ 177,99 ; R$ 216,93 ; R$ 169,78 ; R$ 58,45 ; R$ 345,95 ; R$ 717,45 ;;; R$ 698,52 ; R$ 235,36 ; R$ 73,13 ; R$ 88,16 ; R$ 501,16 ; R$ 314,01 ; R$ 142,54 ;;; R$ 184,08 ;; R$ 76,24 ;;;;;;;;;;;;;;;;;;;;;
out/19; R$ 49,71 ; R$ 89,56 ; R$ 54,14 ; R$ 53,30 ; R$ 165,11 ; R$ 90,63 ; R$ 60,33 ; R$ 155,73 ; R$ 88,35 ; R$ 62,90 ; R$ 457,93 ; R$ 78,12 ; R$ 717,28 ; R$ 560,15 ; R$ 193,37 ; R$ 107,00 ; R$ 262,38 ; R$ 286,65 ; R$ 216,15 ; R$ 110,51 ; R$ 1.253,73 ;;; R$ 73,41 ; R$ 142,49 ; R$ 126,61 ; R$ 308,48 ; R$ 225,92 ; R$ 95,84 ; R$ 241,56 ; R$ 438,56 ;;; R$ 508,99 ; R$ 323,66 ; R$ 549,18 ; R$ 76,23 ; R$ 194,85 ; R$ 200,61 ;; R$ 232,31 ; R$ 137,04 ; R$ 117,49 ; R$ 469,63 ; R$ 1.193,50 ; R$ 159,90 ; R$ 200,55 ; R$ 165,30 ; R$ 55,29 ; R$ 370,40 ; R$ 845,01 ;;; R$ 909,94 ; R$ 250,77 ; R$ 76,32 ; R$ 91,39 ; R$ 563,93 ; R$ 377,81 ; R$ 142,57 ;; R$ 141,84 ; R$ 171,53 ;; R$ 86,36 ; R$ 79,21 ; R$ 110,86 ; R$ 120,77 ;;;;;;;;;;;;;;;;;;
nov/19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
